title,description,url,image
Todo App,A distraction-free web app to help you focus on creating and completing tasks.,https://github.com/Niedzwiedz1/my-todo-web-app/tree/master,1.png
Portfolio Website,A website built entirely in Python to showcase coding projects and apps.,https://github.com/Niedzwiedz1/portfolio-website,2.png
PDF Templates,A script that generates PDF templates of multiple pages given some predefined guidelines.,https://github.com/Niedzwiedz1/App4-PDF-templates,3.png
PDF Invoices,A script that reads invoice records from Excel files and automatically generates PDF invoices.,https://github.com/Niedzwiedz1/App3-PDF-invoices,4.png
Daily News Email API,An app that sends daily emails regarding particular topic using API.,https://github.com/Niedzwiedz1/App5--Daily-News-Email-API,5.png
Weather API,A REST API built with Python and Flask to serve historical weather data for various cities.,https://github.com/Niedzwiedz1/App6--Historical-Weather-API,6.png
Download Cleaner,A script that monitors the Downloads folder and deletes old files keeping the folder clean.,https://pythonhow.com,7.png
Price Scraper,A program that check a price of an item on the website and sends an email when it detects lower price.,https://github.com/Niedzwiedz1/pricetracker,8.png
Open Domain Chatbot,A chatbot built that can discuss anything with a human and is built using the OpenAI API.,https://github.com/Niedzwiedz1/App15--Open-Source-OpenAI-Chatbot,10.png
Webcam Motion Detector,A program that monitors the computer webcam and sends an email when a new object enters the view.,https://github.com/Niedzwiedz1/App9--Webcam-Monitoring-System,11.png
Natural Language Processing,A program that process a text (Regular expressions and Sentiment Analysis).,https://github.com/Niedzwiedz1/App8--Natural-Language-Processing,12.png
Visualizing Weather Forecast,A data web app that visualizes the weather forecast for the next five days of any city.,https://github.com/Niedzwiedz1/App7--Weather-Forecast-Data-Dashboard.git,16.png
Student Management System,A desktop PyQt6 GUI app for managing university student data with an SQL database backend.,https://github.com/Niedzwiedz1/App14-MySQL-Student-Management-System,17.png
School Management System,A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.,https://pythonhow.com,18.png
Restaurant Menu Web App,A Django web app to let customers see a restaurant menu and meal availability.,https://pythonhow.com,19.png
Online Store,A Django online store app where users can place orders and sellers can manage them.,https://pythonhow.com,20.png
